number	filename	ID	season	year	cave	label	nonatec	tag
5	'IMG_0321.JPG'	CAL12-0065	june	2012	C6	CAL12-0065	NA	NA
6	'IMG_0322.JPG'	CAL12-0066	june	2012	C6	CAL12-0066	NA	NA
7	'IMG_0323.JPG'	CAL12-0067	june	2012	C6	CAL12-0067	NA	NA
8	'IMG_0325.JPG'	CAL12-0068	june	2012	C6	CAL12-0068	NA	NA
9	'IMG_0327.JPG'	CAL12-0069	june	2012	C6	CAL12-0069	NA	NA
10	'IMG_0328.JPG'	CAL12-0070	june	2012	C6	CAL12-0070	NA	NA
11	'IMG_0330.JPG'	CAL12-0071	june	2012	C6	CAL12-0071	NA	NA
12	'IMG_0331.JPG'	CAL12-0072	june	2012	C6	CAL12-0072	NA	NA
1	'IMG_0365.JPG'	CAL12-0096	june	2012	C7	CAL12-0096	NA	NA
2	'IMG_0366.JPG'	CAL12-0097	june	2012	C7	CAL12-0097	NA	NA
3	'IMG_0367.JPG'	CAL12-0098	june	2012	C7	CAL12-0098	NA	NA
4	'IMG_0368.JPG'	CAL12-0099	june	2012	C7	CAL12-0099	NA	NA
5	'IMG_0369.JPG'	CAL12-0100	june	2012	C7	CAL12-0100	NA	NA
6	'IMG_0370.JPG'	CAL12-0101	june	2012	C7	CAL12-0101	NA	NA
7	'IMG_0372.JPG'	CAL12-0102	june	2012	C7	CAL12-0102	NA	NA
8	'IMG_0374.JPG'	CAL12-0103	june	2012	C7	CAL12-0103	NA	NA
9	'IMG_0375.JPG'	CAL12-0104	june	2012	C7	CAL12-0104	NA	NA
10	'IMG_0376.JPG'	CAL12-0105	june	2012	C7	CAL12-0105	NA	NA
11	'IMG_0377.JPG'	CAL12-0106	june	2012	C7	CAL12-0106	NA	NA
12	'IMG_0378.JPG'	CAL12-0107	june	2012	C7	CAL12-0107	NA	NA
13	'IMG_0379.JPG'	CAL12-0108	june	2012	C7	CAL12-0108	NA	NA
14	'IMG_0381.JPG'	CAL12-0109	june	2012	C7	CAL12-0109	NA	NA
15	'IMG_0383.JPG'	CAL12-0110	june	2012	C7	CAL12-0110	NA	NA
16	'IMG_0384.JPG'	CAL12-0111	june	2012	C7	CAL12-0111	NA	NA
17	'IMG_0385.JPG'	CAL12-0112	june	2012	C7	CAL12-0112	NA	NA
18	'IMG_0387.JPG'	CAL12-0113	june	2012	C7	CAL12-0113	NA	NA
19	'IMG_0388.JPG'	CAL12-0114	june	2012	C7	CAL12-0114	NA	NA
20	'IMG_0389.JPG'	CAL12-0115	june	2012	C7	CAL12-0115	NA	NA
21	'IMG_0391.JPG'	CAL12-0116	june	2012	C7	CAL12-0116	NA	NA
22	'IMG_0392.JPG'	CAL12-0117	june	2012	C7	CAL12-0117	NA	NA
23	'IMG_0393.JPG'	CAL12-0118	june	2012	C7	CAL12-0118	NA	NA
24	'IMG_0394.JPG'	CAL12-0119	june	2012	C7	CAL12-0119	NA	NA
25	'IMG_0395.JPG'	CAL12-0120	june	2012	C7	CAL12-0120	NA	NA
26	'IMG_0396.JPG'	CAL12-0121	june	2012	C7	CAL12-0121	NA	NA
27	'IMG_0397.JPG'	CAL12-0122	june	2012	C7	CAL12-0122	NA	NA
28	'IMG_0398.JPG'	CAL12-0123	june	2012	C7	CAL12-0123	NA	NA
29	'IMG_0399.JPG'	CAL12-0124	june	2012	C7	CAL12-0124	NA	NA
30	'IMG_0401.JPG'	CAL12-0125	june	2012	C7	CAL12-0125	NA	NA
31	'IMG_0404.JPG'	CAL12-0126	june	2012	C7	CAL12-0126	NA	NA
1	'IMG_0489.JPG'	CAL12-0182	june	2012	C10	CAL12-0182	NA	NA
2	'IMG_0490.JPG'	CAL12-0183	june	2012	C10	CAL12-0183	NA	NA
3	'IMG_0491.JPG'	CAL12-0184	june	2012	C10	CAL12-0184	NA	NA
4	'IMG_0492.JPG'	CAL12-0185	june	2012	C10	CAL12-0185	NA	NA
5	'IMG_0493.JPG'	CAL12-0186	june	2012	C10	CAL12-0186	NA	NA
6	'IMG_0494.JPG'	CAL12-0187	june	2012	C10	CAL12-0187	NA	NA
7	'IMG_0496.JPG'	CAL12-0188	june	2012	C10	CAL12-0188	NA	NA
8	'IMG_0497.JPG'	CAL12-0189	june	2012	C10	CAL12-0189	NA	NA
9	'IMG_0499.JPG'	CAL12-0190	june	2012	C10	CAL12-0190	NA	NA
10	'IMG_0501.JPG'	CAL12-0191	june	2012	C10	CAL12-0191	NA	NA
11	'IMG_0502.JPG'	CAL12-0192	june	2012	C10	CAL12-0192	NA	NA
12	'IMG_0507.JPG'	CAL12-0193	june	2012	C10	CAL12-0193	NA	NA
13	'IMG_0508.JPG'	CAL12-0194	june	2012	C10	CAL12-0194	NA	NA
14	'IMG_0509.JPG'	CAL12-0195	june	2012	C10	CAL12-0195	NA	NA
15	'IMG_0510.JPG'	CAL12-0196	june	2012	C10	CAL12-0196	NA	NA
16	'IMG_0512.JPG'	CAL12-0197	june	2012	C10	CAL12-0197	NA	NA
17	'IMG_0513.JPG'	CAL12-0198	june	2012	C10	CAL12-0198	NA	NA
18	'IMG_0868.JPG'	CAL12-0514	june	2012	C10	CAL12-0514	NA	NA
19	'IMG_0869.JPG'	CAL12-0515	june	2012	C10	CAL12-0515	NA	NA
20	'IMG_0871.JPG'	CAL12-0516	june	2012	C10	CAL12-0516	NA	NA
21	'IMG_0872.JPG'	CAL12-0517	june	2012	C10	CAL12-0517	NA	NA
22	'IMG_0873.JPG'	CAL12-0518	june	2012	C10	CAL12-0518	NA	NA
1	'IMG_0462.JPG'	CAL12-0161	june	2012	C11	CAL12-0161	NA	NA
2	'IMG_0463.JPG'	CAL12-0162	june	2012	C11	CAL12-0162	NA	NA
3	'IMG_0464.JPG'	CAL12-0163	june	2012	C11	CAL12-0163	NA	NA
4	'IMG_0465.JPG'	CAL12-0164	june	2012	C11	CAL12-0164	NA	NA
5	'IMG_0467.JPG'	CAL12-0165	june	2012	C11	CAL12-0165	NA	NA
6	'IMG_0469.JPG'	CAL12-0166	june	2012	C11	CAL12-0166	NA	NA
7	'IMG_0470.JPG'	CAL12-0167	june	2012	C11	CAL12-0167	NA	NA
8	'IMG_0472.JPG'	CAL12-0168	june	2012	C11	CAL12-0168	NA	NA
9	'IMG_0474.JPG'	CAL12-0169	june	2012	C11	CAL12-0169	NA	NA
10	'IMG_0475.JPG'	CAL12-0170	june	2012	C11	CAL12-0170	NA	NA
11	'IMG_0476.JPG'	CAL12-0171	june	2012	C11	CAL12-0171	NA	NA
12	'IMG_0478.JPG'	CAL12-0172	june	2012	C11	CAL12-0172	NA	NA
13	'IMG_0479.JPG'	CAL12-0173	june	2012	C11	CAL12-0173	NA	NA
14	'IMG_0480.JPG'	CAL12-0174	june	2012	C11	CAL12-0174	NA	NA
15	'IMG_0481.JPG'	CAL12-0175	june	2012	C11	CAL12-0175	NA	NA
16	'IMG_0482.JPG'	CAL12-0176	june	2012	C11	CAL12-0176	NA	NA
17	'IMG_0483.JPG'	CAL12-0177	june	2012	C11	CAL12-0177	NA	NA
18	'IMG_0485.JPG'	CAL12-0178	june	2012	C11	CAL12-0178	NA	NA
19	'IMG_0486.JPG'	CAL12-0179	june	2012	C11	CAL12-0179	NA	NA
20	'IMG_0487.JPG'	CAL12-0180	june	2012	C11	CAL12-0180	NA	NA
21	'IMG_0488.JPG'	CAL12-0181	june	2012	C11	CAL12-0181	NA	NA
1	'IMG_0441.JPG'	CAL12-0147	june	2012	C12	CAL12-0147	NA	NA
2	'IMG_0443.JPG'	CAL12-0148	june	2012	C12	CAL12-0148	NA	NA
3	'IMG_0444.JPG'	CAL12-0149	june	2012	C12	CAL12-0149	NA	NA
