"number"	"filename"	"ID"	"season"	"year"	"cave"	"label"	"nonatec"	"tag"	"date"	"codedate"
"6312"	"5"	"IMG_2872.JPG"	"897757"	"august"	"2017"	"C2"	"CAL17-3083"	"3482752"	"897757"	"2017-2-august"	12
"4489"	"3"	"IMG_7210.JPG"	"655353"	"august"	"2015"	"C20"	"CAL15-2642"	"4222720"	"655353"	"2015-2-august"	8
"5102"	"3"	"IMG_5627.jpg"	"655353"	"june"	"2016"	"C20"	"CAL15-2642"	"4222720"	"655353"	"2016-1-june"	9
"5564"	"6"	"IMG_0026.JPG"	"655353"	"august"	"2016"	"C20"	"CAL15-2642"	"4222720"	"655353"	"2016-2-august"	10
"6052"	"4"	"IMG_2197.JPG"	"655353"	"june"	"2017"	"C20"	"CAL15-2642"	"4222720"	"655353"	"2017-1-june"	11
"4494"	"8"	"IMG_7215.JPG"	"158572"	"august"	"2015"	"C20"	"CAL15-2646"	"4093696"	"158572"	"2015-2-august"	8
"5107"	"8"	"IMG_9393.JPG"	"158572"	"june"	"2016"	"C20"	"CAL15-2646"	"4093696"	"158572"	"2016-1-june"	9
"5566"	"8"	"IMG_9899.JPG"	"158572"	"august"	"2016"	"C20"	"CAL15-2646"	"4093696"	"158572"	"2016-2-august"	10
"4505"	"19"	"IMG_7227.JPG"	"158550"	"august"	"2015"	"C20"	"CAL15-2654"	"7330688"	"158550"	"2015-2-august"	8
"5567"	"9"	"IMG_9901.JPG"	"158550"	"august"	"2016"	"C20"	"CAL15-2654"	"7330688"	"158550"	"2016-2-august"	10
"5573"	"15"	"IMG_9907.JPG"	"897894"	"august"	"2016"	"C20"	"CAL16-3005"	"9060992"	"897894"	"2016-2-august"	10
"6058"	"10"	"IMG_2562.JPG"	"897894"	"june"	"2017"	"C20"	"CAL16-3005"	"9060992"	"897894"	"2017-1-june"	11
"6504"	"10"	"IMG_3124.JPG"	"897894"	"august"	"2017"	"C20"	"CAL16-3005"	"9060992"	"897894"	"2017-2-august"	12
"4516"	"5"	"IMG_7276.JPG"	"655313"	"august"	"2015"	"C21"	"CAL15-2666"	"2773504"	"655313"	"2015-2-august"	8
"5119"	"10"	"IMG_5574.jpg"	"655313"	"june"	"2016"	"C21"	"CAL15-2666"	"2773504"	"655313"	"2016-1-june"	9
"5581"	"4"	"IMG_0051.JPG"	"655313"	"august"	"2016"	"C21"	"CAL15-2666"	"2773504"	"655313"	"2016-2-august"	10
"4532"	"21"	"IMG_7630.JPG"	"655339"	"august"	"2015"	"C21"	"CAL15-2743"	"6414592"	"655339"	"2015-2-august"	8
"5120"	"11"	"IMG_5575.jpg"	"655339"	"june"	"2016"	"C21"	"CAL15-2743"	"6414592"	"655339"	"2016-1-june"	9
"5582"	"5"	"IMG_0052.JPG"	"655339"	"august"	"2016"	"C21"	"CAL15-2743"	"6414592"	"655339"	"2016-2-august"	10
"6072"	"10"	"IMG_2222.JPG"	"655339"	"june"	"2017"	"C21"	"CAL15-2743"	"6414592"	"655339"	"2017-1-june"	11
"4534"	"23"	"IMG_7632.JPG"	"655362"	"august"	"2015"	"C21"	"CAL15-2744"	"0884992"	"655362"	"2015-2-august"	8
"5117"	"8"	"IMG_5572.jpg"	"655362"	"june"	"2016"	"C21"	"CAL15-2744"	"0884992"	"655362"	"2016-1-june"	9
"5591"	"14"	"IMG_9842.JPG"	"655362"	"august"	"2016"	"C21"	"CAL15-2744"	"0884992"	"655362"	"2016-2-august"	10
"6085"	"23"	"IMG_2539.JPG"	"655362"	"june"	"2017"	"C21"	"CAL15-2744"	"0884992"	"655362"	"2017-1-june"	11
"6530"	"16"	"IMG_3075.JPG"	"655362"	"august"	"2017"	"C21"	"CAL15-2744"	"0884992"	"655362"	"2017-2-august"	12
"4542"	"6"	"IMG_7296.JPG"	"897801"	"august"	"2015"	"C22"	"CAL15-2676"	"3877632"	"897801"	"2015-2-august"	8
"5599"	"2"	"IMG_0063.JPG"	"897801"	"august"	"2016"	"C22"	"CAL15-2676"	"3877632"	"897801"	"2016-2-august"	10
"4546"	"10"	"IMG_7300.JPG"	"897992"	"august"	"2015"	"C22"	"CAL15-2677"	"1625344"	"897992"	"2015-2-august"	8
"5604"	"7"	"IMG_0069.JPG"	"897992"	"august"	"2016"	"C22"	"CAL15-2677"	"1625344"	"897992"	"2016-2-august"	10
"6109"	"22"	"IMG_2551.JPG"	"897992"	"june"	"2017"	"C22"	"CAL15-2677"	"1625344"	"897992"	"2017-1-june"	11
"5129"	"9"	"IMG_9382.JPG"	"897922"	"june"	"2016"	"C22"	"CAL16-2911"	"1052416"	"897922"	"2016-1-june"	9
"5603"	"6"	"IMG_0068.JPG"	"897922"	"august"	"2016"	"C22"	"CAL16-2911"	"1052416"	"897922"	"2016-2-august"	10
"5625"	"28"	"IMG_9860.JPG"	"897752"	"august"	"2016"	"C22"	"CAL16-2992"	"9498496"	"897752"	"2016-2-august"	10
"6099"	"12"	"IMG_2253.JPG"	"897752"	"june"	"2017"	"C22"	"CAL16-2992"	"9498496"	"897752"	"2017-1-june"	11
"5628"	"31"	"IMG_9863.JPG"	"897920"	"august"	"2016"	"C22"	"CAL16-2994"	"1126272"	"897920"	"2016-2-august"	10
"6098"	"11"	"IMG_2252.JPG"	"897920"	"june"	"2017"	"C22"	"CAL16-2994"	"1126272"	"897920"	"2017-1-june"	11
