"capt.ID" "season" "year" "visit" "cave" "length" "ID"
"112" "6DA1A7" "august" "2017" 1 "C1" 114 NA
"113" "C6597F" "june" "2014" 2 "C1" 120 NA
"114" "C96078" "august" "2012" 1 "C1" 111 NA
"115" "C96461" "june" "2015" 1 "C1" 111 NA
"116" "C964B6" "august" "2012" 1 "C1" 111 NA
"117" "C964B6" "august" "2014" 1 "C1" 110 NA
"118" "C964B6" "august" "2012" 1 "C1" 113 NA
"119" "C9868D" "june" "2014" 1 "C1" 124 NA
"120" "C9868D" "august" "2014" 1 "C1" 125 NA
"121" "C98808" "june" "2015" 1 "C1" 126 NA
"122" "C98CCA" "august" "2015" 1 "C1" 123 NA
"123" "C98F91" "august" "2015" 1 "C1" 109 NA
"124" "052705" "june" "2014" 2 "C10" 111 NA
"125" "052705" "august" "2014" 1 "C10" 112 NA
"126" "052714" "june" "2014" 2 "C10" 110 NA
"127" "052734" "june" "2014" 2 "C10" 84 NA
"128" "052746" "june" "2014" 2 "C10" 124 NA
"129" "052746" "august" "2014" 1 "C10" 125 NA
"130" "052748" "june" "2014" 2 "C10" 84 NA
"131" "052761" "june" "2014" 2 "C10" 90 NA
"132" "052889" "august" "2014" 1 "C10" 85 NA
"133" "052895" "august" "2014" 1 "C10" 78 NA
"134" "052895" "june" "2015" 1 "C10" 85.5 NA
"135" "052895" "june" "2016" 1 "C10" 93.5 NA
"136" "052895" "june" "2015" 2 "C10" 83 NA
"137" "052918" "august" "2014" 1 "C10" 113 NA
"138" "052918" "june" "2016" 1 "C10" 117 NA
"139" "052918" "august" "2016" 2 "C10" 120 NA
"140" "052918" "august" "2017" 2 "C10" 134 NA
"141" "053188" "august" "2015" NA "C10" 117.5 NA
"142" "053188" "june" "2016" 2 "C10" 119 NA
"143" "053188" "august" "2016" 2 "C10" 120 NA
"144" "053188" "june" "2014" 2 "C10" 116 NA
"145" "053188" "june" "2017" 1 "C10" 123 NA
"146" "123837" "august" "2017" 1 "C10" 62 NA
"147" "123848" "august" "2017" 1 "C10" 53 NA
"148" "123855" "august" "2017" 1 "C10" 52 NA
"149" "123865" "august" "2017" 1 "C10" 68 NA
"150" "123881" "august" "2017" 2 "C10" 52 NA
"151" "158529" "august" "2016" 1 "C10" 88 NA
"152" "158529" "june" "2017" 1 "C10" 103 NA
"153" "655016" "august" "2015" NA "C10" 85 NA
"154" "655016" "august" "2016" 1 "C10" 110 NA
"155" "655063" "august" "2015" NA "C10" 91 NA
"156" "655070" "august" "2015" NA "C10" 71 NA
"157" "655070" "august" "2016" 1 "C10" 94 NA
"158" "655070" "june" "2015" 2 "C10" 68 NA
"159" "655109" "august" "2015" NA "C10" 95.5 NA
"160" "655118" "august" "2015" NA "C10" 79 NA
"161" "655118" "june" "2016" 1 "C10" 89 NA
"162" "655118" "august" "2016" 1 "C10" 98 NA
"163" "655118" "june" "2015" 2 "C10" 71 NA
"164" "655118" "august" "2017" 2 "C10" 122 NA
"165" "655224" "august" "2015" NA "C10" 94 NA
"166" "655231" "august" "2015" NA "C10" 86 NA
"167" "655252" "june" "2015" 1 "C10" 95 NA
"168" "655252" "august" "2015" NA "C10" 103 NA
"169" "655252" "june" "2017" 2 "C10" 140 NA
"170" "655274" "august" "2016" 1 "C10" 75 NA
"171" "655274" "june" "2017" 2 "C10" 93 NA
"172" "655341" "june" "2016" 1 "C10" 70 NA
"173" "655341" "august" "2016" 1 "C10" 80 NA
"174" "655380" "august" "2015" NA "C10" 91 NA
"175" "655415" "june" "2016" 1 "C10" 60 NA
"176" "655415" "june" "2017" 1 "C10" 95 NA
"177" "655415" "august" "2017" 1 "C10" 110 NA
"178" "655416" "june" "2015" 1 "C10" 127 NA
"179" "655420" "august" "2015" NA "C10" 115 NA
"180" "655434" "june" "2015" 1 "C10" 110 NA
"181" "655434" "august" "2015" NA "C10" 111 NA
"182" "655434" "june" "2016" 1 "C10" 112 NA
"183" "655475" "june" "2015" 1 "C10" 115 NA
"184" "655475" "june" "2016" 1 "C10" 117.5 NA
"185" "655475" "august" "2016" 2 "C10" 119 NA
"186" "655475" "june" "2015" 2 "C10" 113 NA
"187" "0838144" "june" "2017" 1 "C10" 49 NA
"188" "0838144" "august" "2017" 1 "C10" 58.5 NA
"189" "897776" "june" "2017" 2 "C10" 69 NA
"190" "897776" "august" "2017" 1 "C10" 79 NA
"191" "897784" "june" "2017" 2 "C10" 78 NA
"192" "897784" "august" "2017" 2 "C10" 89 NA
"193" "897838" "august" "2017" 1 "C10" 135 NA
"194" "897855" "august" "2017" 1 "C10" 75 NA
"195" "897864" "june" "2017" 1 "C10" 91 NA
"196" "897864" "august" "2017" 2 "C10" 103 NA
"197" "897900" "june" "2017" 1 "C10" 126 NA
"198" "897930" "august" "2017" 1 "C10" 66 NA
"199" "897931" "august" "2017" 1 "C10" 69 NA
"200" "897977" "june" "2017" 1 "C10" 74.5 NA
"201" "897977" "august" "2017" 1 "C10" 90 NA
